confidence_1,timing_v4_read _First Click,timing_v4_read _Last Click,timing_v4_read _Page Submit,V4_IH,timing_V4_IH_First Click,timing_V4_IH_Last Click,timing_V4_IH_Page Submit,v4_ID,timing_v4_ID_First Click,timing_v4_ID_Last Click,timing_v4_ID_Page Submit,timing_v8_read_First Click,timing_v8_read_Last Click,timing_v8_read_Page Submit,v8_IH,timing_v8_IH_First Click,timing_v8_IH_Last Click,timing_v8_IH_Page Submit,v8_ID ,timing_v8_ID_First Click,timing_v8_ID_Last Click,timing_v8_ID_Page Submit,v3_IH,timing_v3_IH_First Click,timing_v3_IH_Last Click,timing_v3_IH_Page Submit,v3_ID,timing_v3_ID_First Click,timing_v3_ID_Last Click,timing_v3_ID_Page Submit,preference,explain
6,,,,,,,,,,,,0,0,5.223,"People are enjoying media more and seeing how the styles can change quicker, so trends are changing quickly.",19.853,19.853,84.947,Fashion brands are targeting social media to display there trends and up their sales. This causes people to buy more products at a faster turn around rate.,1.007,1.007,44.23,,,,,,,,,The INTENTIONAL DESIGN explanation,Provide and invisible hand and intention design reason for a question.
6,,,,,,,,,,,,,,,,,,,,,,,"The actions of the factory workers upset the public and the police, thus causing the group to get upset.",1.987,1.987,43.134,A factory worker wanted to cause trouble for the police because they were angry about their pay.,1.397,1.397,47.044,The INVISIBLE HAND explanation,Explain the intentions behind a scenario.
7,,,,,,,,,,,,0,0,30.39,"People engaging in social media see all the new fashions, and share them to fashion-conscious friends. Ultimately nonfashion-conscious friends see them as well and this leads to a very rapid change in fashion in general. The urge to spread the news is not intended to shorten a fashion's season, so this is an invisible hand explanation. ",3.772,3.772,141.27,"Fashion industry is aware of the power of social media, so uses the free promotional value of that entity to enable them to get more people buying new clothes more quickly. Thus, there is an intentional design to the fashion industries actions. ",1.774,1.774,83.036,,,,,,,,,The INTENTIONAL DESIGN explanation,write two explanations for a fictional scenario: invisible hand or intentional design. 
7,,,,,,,,,,,,0,0,48.416,"People in Jirev are in the middle of an economic boom, and they have more disposable income than previously to spend on things like clothes. They also enjoy following fashion, and a recent article about street fashion highlighted some of the trends worn by their citizens. This brought more people into the hobby of following fashion, and people started sharing their love of fashion with friends, leading to a quicker turnover of these trends.",4.841,234.757,252.819,"A fast fashion company wanted to increase their sales, so they began pushing these viral ""trends"" through sponsorship of some of the biggest influencers. The followers bought into these viral trends, and turn over their wardrobe faster as a result of trying to keep up with the viral trends.",3.823,151.502,177.474,,,,,,,,,The INTENTIONAL DESIGN explanation,"I had to read a fictional vignette and come up with two different explanations for it, one invisible hand and one intentional design"
7,,,,,,,,,,,,,,,,,,,,,,,"People in the crowd became increasingly emotional as they chanted and pumped their fists. Then someone got pushed, so everyone began pushing. As the crowd got angrier, police tried to intervene and because of the fear many people have of the police, violent erupted.",3.355,202.038,210.255,"The demonstration was organized by leaders of a anti-police group urging factory workers to fight for their rights. Demonstrators were using social media to spread the work and keep demonstrators aware of the approach of police. As police got nearer, leaders encouraged demonstrators to defend themselves. Their intention was to create bad press for the police department to support the argument for defunding the police.",2.029,263.061,312.225,The INVISIBLE HAND explanation,Create 2 diffferent explanations for a scenario: Invisible hand or design
6,,,,,,,,,,,,,,,,,,,,,,,"The workers were angry. The police were angry, and one thing led to another.",5.518,64.742,70.391,One of the leaders of the march though that a violent march would make more headlines and bring their story to more people.,8.752,112.471,120.605,The INVISIBLE HAND explanation,Give explanations for why an event happened.
6,0,0,86.667,The attention that comes with spouting off online and the following it can build inspired people to mimic the actions of a few so that they can get the recognition they feel they deserve.,6.192,75.688,77.526,"Corrupt politicians such as Donald Trump have been caught in multiple lies with video evidence, so to convince their following it never happened, “Fake news,” became a new battle cry for people online.",5.964,96.384,121.503,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,I was asked to come up with two different explanations of how a certain event could have happened.
6,0,0,30.156,"The movements are dispersed and spread out, but the issues they're concerned with are prescient and gain traction in the media easily. ",3.004,3.004,55.706,Social media companies are intentionally signal boosting content relating to these movements. ,0.678,0.678,31.309,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,"Provide two explanations, one of ""the invisible hand"" and the other ""intentional"", for a scenario. "
6,,,,,,,,,,,,,,,,,,,,,,,The workers wanted to hold a peaceful march but someone threw a rock which led someone else to throw an object.  The violence took off from there.,5.48,72.23,73.431,The workers wanted to disrupt the peace in order to draw attention to their cause.  They wanted to use violence to get people to act.,7.378,52.964,54.377,The INVISIBLE HAND explanation,take a scenario and create an invisible hand situation and an intentional situation.
6,,,,,,,,,,,,0,0,18.731,People in Jirev are being marketed to more than ever on social media. This is influencing many people to feel pressured to adhere to new norms of keeping up with micro trends. ,1.745,86.762,90.657,People in Jirev have the desire to stay fashionable to obtain high social status.,2.475,226.146,227.454,,,,,,,,,The INVISIBLE HAND explanation,Reads a scenario and write two different explanations.
5,0,0,52.171,"Various groups started voicing strong opinions on issues, without any substantiation behind them. Others picked up on these views and touted them around, even though they did not bother to look for any facts to back up these opinions. ",3.15,108.042,112.784,"Some people wanted to influence politics and social media, so they invented stories and opinions that they posted on social media. Others picked up on these ideas without questioning that there was no facts to back them up. ",2.864,2.864,73.331,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,To understand the invisible hand and other (I can't remember the name) phenomena.
6,,,,,,,,,,,,0,0,11.373,"With the way social media is, posting new designs increases how fast the trends change",5.513,5.513,42.631,The company is deliberately pushing newer designs quicker to have people buy the new designs as they want to buy them to remain up-to-date in fashion. This was deliberately done to increase profits,1.289,73.839,75.076,,,,,,,,,The INTENTIONAL DESIGN explanation,if the outcome was happened based on circumstances or planed from the start
6,,,,,,,,,,,,0,0,26.199,People quickly fall 'out of love' with current trends as it is easier than ever to find the next big thing.,13.842,67.512,70.671,"Designers in Jirev have taken to social media and have been promoting their brands via influencers. These influencers tend to gain followers and fame very quickly and have influenced the fashion scene, but also quickly lose attention.",22.409,22.409,168.7,,,,,,,,,The INTENTIONAL DESIGN explanation,discuss intentional design vs invisible hand in regards to fashion trends in Jirev
6,,,,,,,,,,,,0,0,60.882,"A few fashion social media influencers in Jirev wanted more views, so they began acquiring more and more clothes to shoot new videos in the same day but make it look like they were made at different times. As a result, the fashion changes spread more and now people buy new clothes more often. ",0.696,37.384,96.048,"A major clothing manufacturer in Jirev noticed that much of its monetary loss comes from surplus fabrics that get wasted. They decided to come up with new designs that combined bits of old fabrics rather than tossing them, so they come up with new designs more frequently than before in order to maximize their sales. ",4.263,4.263,105.598,,,,,,,,,The INTENTIONAL DESIGN explanation,To come up with two different explanations for an occurence - invisible hand or intentional design
7,0,0,25.023,"On social media people have sahred the current news of these movmenets. Through this spreading word among people, the movement has gained the attention of big media outlets. ",9.449,9.449,61.602,These movements have an inorganic goal of attaining certain demands for the monority groups.,3.469,48.861,53.001,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,"Give two explantions of a movment, one being invisible and one being intentional. "
3,,,,,,,,,,,,0,0,68.386,"People are starting to follow influencers that recommend certain styles, The influencers are being paid by the number of fashion suggestions that people accept so they start recommending them more often.",13.935,13.935,105.874,The fashion industry is paying influencers to promote changes more often.,7.915,7.915,54.307,,,,,,,,,The INTENTIONAL DESIGN explanation,read a fictional account about fashion changes occurring more often.
7,,,,,,,,,,,,8.542,20.395,20.92,"Fashion bloggers work to show off the newest fashions on their collective social media pages to garner the highest number of views and also to keep their followers engaged. As a result of their constant posting of new material, fashion becomes more disposable and trends do not last as long. ",19.695,83.735,84.156,"Trends in fashion are designed for the viral age and therefore are more disposable than ever, this was part of the design and it was a result of the social media departments at these companies incentivizing these trends. ",2.414,90.6,91.211,,,,,,,,,The INVISIBLE HAND explanation,To come up with reasons for a particular event happening and then to identify as intentional or unintentional. 
7,8.299,15.258,45.823,The members write a lot of posts on social media and they use sensational language to voice their controversial opinions. The sheer number of posts from this minority have filled the feeds of people using social media which gave them influence. No one is is contesting the posts specifically and so they gain more influence,3.545,74.446,146.047,The Association of Change has specifically targeted policies of the status quo for their members to target. The leaders have organized posting parties to flood social media with their opinions. The presence of millions of posts on social media has given them influence.,1.687,111.661,144.133,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,I was asked to give an invisible hand and an intentional design explanation for a fictitious situation. 
5,,,,,,,,,,,,0,0,42.148,"A new social media website has gained massive popularity in Jirev. A few of their fashion conscious users have discovered some online clothing outlets selling fashionable clothing on the cheap. Trends started to shift more rapidly other users tried different clothes on these sites. They would share beauty and fashion tips. Bad manufacturers and shoddy clothes were quickly phased out by the Jirev people as they would review them over social media, leading to new styles being phased in and out more rapidly.",2.667,128.488,175.906,"Jirev was a fairly closed off country until the last decade. Recently, more international companies have come to see Jirev as a place of untapped revenue. Multiple clothing companies collaborated on setting up stores in said country and a massive social media blitz on TV and online has lead to more of Jirev adopting fast fashion.",5.686,254.688,256.602,,,,,,,,,The INVISIBLE HAND explanation,"Give two explanations for a given event as being either the result of Intentional action, or an ""invisible hand""."
5,,,,,,,,,,,,,,,,,,,,,,,The energy and passion from the workers fueled the fire which made them turn violent and aggressive.,15.101,47.076,48.285,It was set up that way to make the demonstrations turn violent and incite further violence from the labor groups.,4.509,28.031,29.281,The INTENTIONAL DESIGN explanation,Describe a scenario in an invisible hand and intentional design ways.
7,,,,,,,,,,,,0,0,50.102,The spread and popularity of social media/smartphones has made fashion trends more accessible to the public.  Because of this more people are seeing different trends more often and quicker than they did prior to the emergence of smartphones and social media.,20.16,66.976,122.932,Fashion companies in Jirev saw the emergence of social media and smartphones and figured it would increase sales so they heavily used it to advertise their products.  ,9.338,120.281,121.725,,,,,,,,,The INVISIBLE HAND explanation,Come up with an invisible hand and intentional design explanation for the events that happened in the story.
6,0,0,21.451,"Social media algorithms push incendiary opinions because they drive up engagement. No social media owners are trying to provoke political polarization, but they want to prolong user engagement so their algorithms push that content.",1.662,50.799,54.163,"An oppositional political party to the one in power spends money on media advertising, from TV appearances to social media accounts, that spread their controversial rhetoric. They are trying to influence the upcoming election. In response, the current political party in power spends money on the same tactics.",0.72,0.72,65.941,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,discern between invisible hand and intentional design reasons for a phenomenon
7,,,,,,,,,,,,,,,,,,,,,,,"The peaceful protests triggered a lot of anger from past protest events about police brutality, once the police got involved physically. This heightened anger promoted larger crowds that became more violent.",15.808,262.64,265.163,Factory companies encouraged a more radical protest by hiring people to provoke a riot during the peaceful protest. This way the company could avoid meeting the employees' demands as they would appeal unreasonable and distracted from the original issue.,2.344,276.561,277.701,The INTENTIONAL DESIGN explanation,Read vignettes and form a invisible and intentional explaination
6,1.464,35.164,35.847,"The intent of the various social movements alluded to in the example was not necessarily to influence public opinion. Their intent was to use social media as an opportunity to converse with like-minded individuals who might have been more difficult to locate and communicate with offline. However, since this communication and the communities which developed because of it we're not closed in nature (they were open to anyone who was interested in participating), some people who previously did not hold with their opinions were exposed to their cause. With exposure, particularly repeated exposure, came agreement and ultimately support. The result was that these groups gained an unexpected (albeit welcome) influence over public opinion by virtue of their social media activities.",2.774,206.891,207.576,"The ""various social movements"" alluded to in the example have a direct intent of changing the way people think about specific topics.  They realize that the more people hear about their opinions, the more they will be forced to think about them.  They hope that with increased exposure to their opinions, they will gain converts to their cause, and know that social media has a strong influence over many people's opinions. Accordingly, they increase their social media output with the express intent of increasing public exposure to their views and ultimately increasing their influence over public opinion.",2.637,238.281,239.06,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,Provide two alternate explanations for an observed phenomenon - one which indicated an directed action intended to result in The observed result and one in which the observed result was not intentionally directed but occurred as the natural result of social actions without intent.
6,,,,,,,,,,,,0,0,27.831,"Multiple new companies with different styles of clothing have started working in Jirev. Even though each company is pushing for their own style to be the popular one, they did not intend for fashion trends to change so frequently.",4.51,9.085,88.671,The biggest clothing retailer in Jirev that controls the trends has started putting out new lines of clothes more frequently. They want the trends to change quickly so that people will purchase more clothes in one season than they used to.,2.062,42.195,44.016,,,,,,,,,The INTENTIONAL DESIGN explanation,Make up an intentional and unintentional reason for a fictional situation to occur.
7,,,,,,,,,,,,,,,,,,,,,,,"As the protest raged on, emotions got the better of some of the protesters, leading them to to act violent, others seeing this, started doing the same.",3.487,4.767,64.041,"The leaders of the group, realized that the government, and or company will be more willing to comply to there demands if things got violent/out of control.",1.86,56.044,62.879,The INVISIBLE HAND explanation,To make two different explantions for spefic events.
5,,,,,,,,,,,,6.017,17.908,18.628,People are bored and depressed and have turned to shopping for comfort. ,2.316,31.495,34.5,A company or design studio or a collection of fashion organizations started releasing collections online at a frenzied rate to increase sales and boost interest. ,2.093,96.636,97.332,,,,,,,,,The INTENTIONAL DESIGN explanation,Come up with a invisible hand and intentional hand reason behind a fashion scenerio
6,,,,,,,,,,,,,,,,,,,,,,,Emotions overall were very heated and someone's temper snapped because everyone was so passionate about it. ,2.027,5.147,27.799,There were people who joined the protest with the explicit goal of turning it violent so that it would not succeed. ,6.277,6.277,37.194,The INVISIBLE HAND explanation,Write two explanations for a situation. 
