"","Participant_ID","Q1_V1_IH","Q1_Time","Q2_V1_ID","Q2_Time","Q3_V2_IH","Q3_Time","Q4_V2_ID","Q4_Time","Q5_V3_IH","Q5_Time","Q6_V3_ID","Q6_Time","Q7_V4_IH","Q7_Time","Q8_V4_ID","Q8_Time","Q9_V5_IH","Q9_Time","Q10_V5_ID","Q10_Time","Q11_V6_IH","Q11_Time","Q12_V6_ID","Q12_Time","Q13_V7_IH","Q13_Time","Q14_V7_ID","Q14_Time","Q15_V8_IH","Q15_Time","Q16_V8_ID","Q16_Time","Q17_V9_IH","Q17_Time","Q18_V9_ID","Q18_Time","Q19_V10_IH","Q19_Time","Q20_V10_ID","Q20_Time","Total_Time"
"2",21969,"83","25,367","72","28,714","92","46,591","85","81,781","81","37,052","92","21,325","73","60,539","84","23,097","55","33,315","83","41,676","77","17,236","92","26,172","71","55,673","89","19,558","68","25,965","93","28,258","92","22,956","87","12,223","88","8,938","81","39,743","1008"
"3",25949,"70","36,092","99","34,131","30","65,645","99","37,451","5","33,723","95","30,974","90","40,352","98","38,589","95","59,886","80","39,197","70","31,941","20","46,661","80","104,079","70","36,592","90","49,697","50","34,687","66","24,594","96","34,006","90","32,789","81","37,039","1292"
"4",79271,"90","74,447","60","63,951","82","15,18","60","35,46","84","77,72","70","19,014","65","26,518","60","75,138","45","36,144","51","89,37","75","71,966","50","87,389","47","25,209","90","32,158","70","20,194","90","34,657","80","16,672","90","84,287","40","23,684","64","31,57","1276"
"5",23043,"93","5,788","70","1,562","76","6,703","100","15,426","43","5,905","56","0,719","100","14,311","57","2,281","100","5,587","67","8,901","12","6,552","13","17,972","30","4,258","43","2,542","92","4,593","100","8,185","39","2,102","38","3,336","16","1,858","13","10,694","259"
"6",87566,"100","17,205","50","21,501","85","13,215","100","20,676","100","15,891","85","20,465","40","19,119","70","26,9","35","33,136","85","20,844","45","16,165","65","20,636","60","18,489","55","19,522","60","24,425","90","33,988","90","23,836","90","22,147","60","22,807","45","18,594","672"
"7",96822,"72","4,184","69","4,356","75","12,007","88","2,476","88","19,358","95","4,315","69","13,251","82","4,667","65","17,339","74","12,662","63","21,378","72","7,057","90","10,212","91","15,542","73","3,926","70","78,906","93","12,309","91","6,204","84","42,095","90","5,778","582"
"8",10914,"85","23,524","60","50,058","65","19,913","90","31,726","50","22,801","75","20,832","75","21,07","70","28,206","55","19,313","90","26,329","40","31,11","45","26,233","80","31,137","50","24,97","65","19,974","65","24,793","50","23,518","75","37,188","55","25,208","50","33,717","852"
"9",98412,"90","77,388","90","12,64","91","29,576","82","9,31","51","17,436","59","74,105","91","13,667","30","34,863","80","18,404","71","23,852","91","17,901","91","18,43","70","25,996","83","39,065","33","9,26","60","46,021","60","21,706","88","9,811","50","22,178","50","17,875","869"
"10",91684,"58","1,472","51","1,438","48","1,653","46","1,318","41","0,408","46","0,364","44","455,178","50","2,929","48","1,372","56","0,418","48","0,697","43","1,971","51","0,588","49","1,02","57","0,155","42","2,081","60","114,893","50","10,166","50","2,469","60","24,855","1030"
"11",33651,"90","20,839","60","19,979","52","74,623","50","4,921","40","7,334","10","35,159","71","37,072","31","16,093","63","39,478","72","7,357","30","133,709","30","33,975","71","7,126","91","16,84","71","7,428","71","18,791","92","24,911","81","11,264","100","68,31","100","6,143","933"
"12",48372,"97","19,835","100","26,669","20","45,263","10","25,588","85","34,023","62","40,651","80","26,349","76","58,159","92","43,651","72","39,236","5","22,201","1","36,221","80","36,609","81","25,468","64","29,687","38","34,128","20","21,067","100","65,784","60","28,896","45","27,783","1094"
"13",35284,"70","19,38","51","22,051","50","11,325","70","22,132","100","39,3","100","97,988","50","17,04","50","30,695","75","21,996","78","15,618","40","16,471","20","23,032","61","21,115","71","20,324","40","29,982","72","13,155","71","27,146","71","14,942","50","95,218","50","25,318","894"
"14",96286,"94","38,8","72","56,565","20","47,385","51","13,762","81","56,885","82","19,259","100","31,882","64","61,507","43","46,166","100","87,543","25","18,865","38","40,207","100","27,561","100","44,973","100","35,67","66","21,214","100","41,267","100","4,124","97","15,457","52","35,919","1265"
"15",16091,"70","33,406","100","37,447","80","31,872","100","25,411","60","38,637","50","24,844","50","87,541","50","43,914","50","47,508","100","42,501","50","32,022","40","25,389","65","35,463","80","41,029","93","53,394","70","29,452","65","62,016","75","35,913","75","39,458","80","61,51","1327"
"16",87829,"100","104,089","77","43,892","81","16,443","86","38,714","95","29,051","80","31,032","70","41,037","14","67,183","0","36,612","100","24,529","10","52,392","21","21,301","95","37,103","90","47,022","10","35,757","100","39,63","34","46,679","40","55,32","100","33,476","84","40,449","1254"
"17",43371,"50","1,03","50","1,559","51","0,591","50","2,346","50","3,178","50","1,942","50","7,277","50","0,324","51","0,266","51","0,366","47","2,802","50","1,093","50","0,838","50","0,456","52","1,015","48","1,113","50","0,854","52","0,888","51","2,809","49","0,546","216"
"18",22276,"90","47,8","75","23,454","80","30,173","90","38,036","85","97,269","100","20,252","80","47,456","75","73,653","70","89,738","96","22,5","60","33,064","30","67,278","100","21,469","80","44,081","90","188,79","90","89,941","50","49,649","90","37,974","86","29,63","70","17,844","1611"
"19",32332,"87","33,033","44","67,191","93","39,705","100","25,405","35","26,733","75","43,688","61","43,646","43","24,953","24","57,66","75","32,889","10","65,799","32","39,049","49","40,639","85","22,543","42","37,659","70","18,205","40","18,637","69","38,752","67","26,902","42","51,924","1434"
"20",89314,"17","55,578","8","13,541","67","27,774","53","43,82","92","22,475","59","56,15","14","34,801","13","6,696","16","55,559","53","27,267","12","12,921","13","112,095","16","99,712","64","17,489","31","18,647","35","38,9","34","31,657","20","12,627","63","40,881","77","7,464","1477"
"21",46586,"80","2,734","49","21,6","66","2,23","54","4,125","60","8,04","76","0,797","77","10,898","65","6,269","55","25,053","54","1,246","53","3,228","45","2,464","45","27,682","18","14,885","33","8,652","50","1,745","68","2,049","52","95,501","64","3,996","65","1,763","433"
"22",78221,"75","26,935","80","35,668","90","23,539","90","19,722","100","58,4","100","27,297","90","16,166","75","190,352","70","302,573","75","61,75","81","4,659","60","35,374","65","34,986","80","68,614","75","33,575","90","53,041","85","20,023","85","25,821","81","148,285","81","4,465","1774"
"23",79306,"94","15,539","37","17,523","42","51,18","30","16,595","81","17,124","22","9,273","54","5,999","56","10,319","18","16,4","26","9,18","70","18,128","71","6,216","64","7,422","75","9,451","65","17,869","50","22,084","80","5,686","100","10,96","26","4,802","30","9,146","443"
"24",62166,"89","6,185","85","31,415","75","21,212","83","15,017","92","2,876","88","16,222","66","37,901","18","73,104","86","4,615","66","21,122","57","18,776","54","22,743","83","3,718","71","21,419","86","2,772","80","19,65","86","6,502","81","10,152","68","16,894","77","8,463","587"
