"","Total_Time","Participant_ID","Q1","Q1_Time","Q2","Q2_Time","Q3","Q3_Time","Q4","Q4_Time","Q5","Q5_Time","Q6","Q6_Time","Q7","Q7_Time","Q8","Q8_Time","Q9","Q9_Time","Q10","Q10_Time","GCB_1","GCB_2","GCB_3","GCB_4","GCB_5","GCB_6","GCB_7","GCB_8","GCB_9","GCB_10","GCB_11","GCB_12","GCB_13","GCB_14","GCB_15","DQ_Pol.Today","DQ_Pol.Gen"
"2","531",54476,"1","32,779","1","50,891","1","27,721","1","25,9","-1","29,48","1","28,564","1","21,676","1","27,38","-1","27,024","-1","27,56","4","4","3","4","2","4","4","4","4","4","4","4","4","4","4","2","4"
"3","677",12966,"1","37,303","1","33,9","1","45,106","1","49,014","1","48,362","1","37,268","1","34,156","-1","30,904","-1","67,902","-1","44,146","3","4","5","2","4","3","3","4","2","3","4","3","4","4","4","2","4"
"4","1601",91749,"-1","85,407","-1","114,758","-1","80,975","-1","96,686","1","187,902","1","176,348","1","79,292","-1","111,102","-1","78,691","-1","68,038","1","2","1","1","1","1","1","2","1","3","3","1","1","1","4","2","3"
"5","1134",94157,"1","55,572","1","97,529","1","51,656","1","60,044","1","51,358","1","83,459","1","55,838","-1","48,96","-1","141,867","-1","146,319","5","4","4","4","4","4","3","5","3","4","4","4","4","4","5","1","4"
"6","1288",94080,"1","18,351","-1","22,738","-1","45,972","1","26,322","-1","54,07","1","15,385","1","28,666","-1","15,766","-1","30,032","1","52,261","5","1","1","1","1","5","1","1","1","1","4","1","1","1","5","2","5"
"7","425",26752,"1","34,185","-1","7,956","-1","25,193","-1","8,07","1","31,234","1","16,619","-1","5,713","1","22,742","-1","32,733","1","12,052","4","3","1","4","2","3","1","1","1","1","3","3","1","1","1","1","5"
"8","616",62607,"1","52,502","-1","40,481","-1","50,918","1","10,379","-1","18,972","1","40,074","-1","36,946","-1","22,032","-1","43,24","1","23,448","5","2","1","2","2","3","2","1","2","4","4","1","2","3","4","1","5"
"9","448",20413,"-1","20,214","-1","27,776","1","21,104","-1","22,055","1","20,882","1","21,621","-1","28,235","1","22,722","-1","21,925","1","21,292","3","3","1","3","2","4","4","2","2","3","4","4","2","2","4","2","3"
"10","788",34920,"1","24,755","-1","42,633","-1","41,013","1","56,959","-1","30,767","1","38,611","-1","39,225","-1","23,202","-1","31,067","1","53,793","4","4","3","3","5","4","2","3","2","4","4","4","3","4","4","1","5"
"11","707",97866,"1","34,327","1","50,272","1","29,583","-1","0","1","45,703","1","33,873","-1","33,271","1","23,932","-1","42,946","1","37,206","4","3","2","2","2","3","3","3","2","4","4","3","2","3","5","1","4"
"12","713",45924,"1","42,35","1","36,489","-1","39,575","1","53,966","1","40,443","-1","42,044","1","34,245","-1","28,487","-1","31,827","-1","43,564","3","2","2","2","2","3","2","2","1","3","3","2","2","1","4","1","4"
"13","636",14046,"1","39,066","1","28,692","1","33,201","1","31,129","1","29,65","1","29,392","1","36,582","1","22,177","1","31,177","-1","107,515","3","1","1","1","2","4","1","1","1","1","3","1","1","1","5","1","4"
"14","569",39520,"1","25,341","-1","50,405","1","18,414","1","44,252","1","44,106","-1","39,994","1","22,993","-1","23,496","-1","22,921","-1","48,792","2","3","2","1","1","1","1","2","1","2","1","1","1","1","1","1","5"
"15","554",40410,"1","56,338","-1","44,156","1","25,25","1","22,484","1","23,094","1","28,452","1","23,967","1","20,78","-1","24,798","-1","32,627","3","3","2","3","1","2","2","2","2","3","2","2","2","2","2","1","3"
"16","529",40034,"1","28,922","-1","24,029","-1","25,941","1","25,581","1","26,17","1","25,154","1","17,412","1","16,734","-1","24,088","-1","30,539","5","2","1","3","4","5","1","1","2","4","5","1","1","3","5","1","4"
"17","894",56394,"1","43,666","-1","47,125","1","64,929","1","103,874","1","127,159","1","32,231","1","32,895","-1","57,994","-1","81,498","-1","37,746","4","2","4","1","2","4","1","4","5","4","5","4","2","5","5","1","4"
"18","978",22092,"1","49,972","-1","91,182","1","48,353","1","40,593","1","52,368","-1","42,876","1","58,835","1","54,935","-1","84,532","1","65,269","1","1","3","1","1","3","1","4","5","4","4","1","3","1","2","1","5"
"19","830",48786,"1","63,699","1","190,226","1","18,68","1","71,429","1","17,84","1","15,663","-1","52,544","-1","6,722","-1","117,195","-1","11,887","3","3","1","2","1","4","1","3","1","3","3","3","3","5","5","2","3"
"20","740",42060,"-1","22,775","1","14,001","-1","112,101","1","24,5","-1","35,001","1","57,902","1","28,444","-1","25,872","1","51,419","1","31,347","2","2","4","4","1","4","2","5","1","5","4","3","4","4","4","1","4"
"21","821",38863,"1","45,563","-1","43,378","-1","45,326","1","72,486","-1","36,529","1","41,372","1","45,478","1","59,963","-1","47,104","1","53,05","3","2","2","1","1","2","2","2","1","4","4","3","2","4","5","2","3"
"22","565",13322,"1","32,892","1","13,784","1","22,656","1","8,443","1","7,894","1","54,02","-1","35,027","1","29,939","1","55,022","-1","23,996","3","4","2","4","4","2","4","2","2","4","4","4","2","4","4","1","4"
"23","433",77469,"1","24,515","-1","17,687","1","11,805","1","15,158","1","22,083","1","23,594","1","58,055","-1","28,932","-1","13,497","-1","18,434","1","2","5","1","4","5","1","5","1","4","3","4","4","2","5","4","3"
"24","669",77233,"-1","49,852","1","47,369","1","41,758","-1","23,979","1","123,349","1","23,756","1","42,83","1","16,763","-1","70,308","1","28,737","4","2","2","1","2","2","2","2","1","2","4","2","1","1","4","1","5"
"25","1010",15406,"1","38,009","1","50,932","1","43,144","1","74,097","1","49,994","1","50,579","1","47,056","-1","46,099","1","271,449","1","81,057","2","3","1","2","2","1","2","1","1","2","2","1","1","3","3","8","1"
